team,power_score_v3
Spain,0.9882587064676617
England,0.9371526149549863
Germany,0.9260147613874502
Netherlands,0.8910845798623359
France,0.8810274668039347
Portugal,0.86526395040633
Brazil,0.8387838081680218
Japan,0.837493255585054
Argentina,0.83686157242515
Belgium,0.8267301516002667
Italy,0.8030139240539932
Iran,0.7935075891520825
Croatia,0.7876350572500271
Mexico,0.7859113312456785
Senegal,0.7706138918630033
Norway,0.7696492286082893
Turkey,0.7691133381838018
Australia,0.768484355524348
Morocco,0.7670223149902897
Egypt,0.7641833807179719
Russia,0.7630582499596923
Ivory Coast,0.762203277748641
Switzerland,0.7618648303261523
United States,0.7617117464899683
Denmark,0.7584982831889651
South Korea,0.749570391232694
Uzbekistan,0.7417677737405952
New Zealand,0.7344090696773049
Czech Republic,0.7236289148555581
Nigeria,0.7223471053883768
Algeria,0.7188477345615105
Tunisia,0.709553043785139
Austria,0.7078930849539882
Saudi Arabia,0.703898278399844
Colombia,0.7011328678122548
Poland,0.7008679308119451
Ukraine,0.7005298122627945
Greece,0.6968240583692199
Uruguay,0.6964511705102242
Scotland,0.6950294005509495
Sweden,0.6899070219476222
Ghana,0.6873145730392615
Canada,0.6847073436220903
Jordan,0.6830429699511511
Serbia,0.6816397706089754
Ecuador,0.6724841676316953
Romania,0.6709067639305144
Cameroon,0.670524459580596
Slovakia,0.6656139400102655
Qatar,0.6647195744407857
Iraq,0.6606700234068291
Burkina Faso,0.6567547357975849
Puerto Rico,0.6539655479496069
Guatemala,0.6525071439028391
Mali,0.6522914403636305
Wales,0.6459407805631798
Hungary,0.6454971886366563
Panama,0.6379641571839492
New Caledonia,0.6361143501151736
United Arab Emirates,0.6359812331337191
Oman,0.6326126147456619
Costa Rica,0.632364720218851
DR Congo,0.6238451755330097
Bosnia and Herzegovina,0.6218885989759828
Paraguay,0.6207161006026393
Vanuatu,0.6205392849642928
South Africa,0.6203313442384275
Syria,0.6200137589163917
Nicaragua,0.6184647162355841
Haiti,0.616171765011021
Slovenia,0.6151031651179929
China PR,0.6086242740155883
Dominican Republic,0.6071393687514581
Chile,0.5924276400746017
Guinea,0.5817675085845972
Guadeloupe,0.5732645107990093
Honduras,0.571058293254859
Albania,0.5674674292242217
Jamaica,0.5572532783004208
Bahrain,0.5562576926494673
Saint Martin,0.554202986686867
Gabon,0.5470396366853219
Cape Verde,0.545631342242784
Finland,0.5436313786644802
Peru,0.5378632374465461
Uganda,0.5362410305752601
Northern Ireland,0.5361573877165893
Palestine,0.5354702798264585
El Salvador,0.5353049033362633
Venezuela,0.5316144446796032
Suriname,0.5311796781674505
Republic of Ireland,0.5270076476764736
Kyrgyzstan,0.5259636705655559
Tajikistan,0.5238233272552457
Bermuda,0.5234047335138967
Iceland,0.523109361299878
Georgia,0.5210062650285384
Trinidad and Tobago,0.5201310231873327
Israel,0.5201168291174189
Curaçao,0.5193947665076118
Angola,0.5163511753931983
Kuwait,0.5135487362642968
Zambia,0.5107559368298532
Kosovo,0.5018028753684705
Montenegro,0.4993122262230264
Bulgaria,0.4946348947251936
Benin,0.48509604746274476
Bolivia,0.48169983974887765
North Macedonia,0.47744321918856886
Libya,0.47365414868528727
Lebanon,0.47325859133795983
Turkmenistan,0.47164868560697804
Guyana,0.4714607293183025
Bonaire,0.4708793727607318
Equatorial Guinea,0.4706174370443005
Thailand,0.4653466751673936
Vietnam,0.46046011693529665
Mozambique,0.4604335256245505
Kenya,0.45762745222674595
